WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,lat,lon
TOURMALINE HZ COLUMBIA 5-20-46-15,498175,ALBERTA CROWN,1181.7M,100/05-20-046-15W5/00  N   56.9M  W,36.7M,DRAYTON VALLEY,5139,HORIZONTAL,NEW,PRODUCTION,GAS,2020-07-20,DEV (NC),COLUMBIA,VIKING FM,TOURMALINE OIL CORP.,01-25-046-16W5,25046165,30,7,2020,25046165,52.99622534,-116.1775922
PEYTO EDSON 1-36-53-19,498176,ALBERTA CROWN,1006.7M,100/01-36-053-19W5/00  S   60.0M  W,125.0M,DRAYTON VALLEY,3975,HORIZONTAL,NEW,PRODUCTION,GAS,2020-07-20,DEV (C),EDSON,NOTIKEWIN MBR,PEYTO EXPLORATION & DEVELOPMENT CORP.,16-36-053-19W5,36053195,30,7,2020,36053195,53.62115102,-116.654881
PEYTO EDSON 3-31-53-18,498177,ALBERTA CROWN,1006.7M,100/03-31-053-18W5/00  S   64.9M  W,125.0M,DRAYTON VALLEY,3970,HORIZONTAL,NEW,PRODUCTION,GAS,2020-07-20,DEV (C),EDSON,NOTIKEWIN MBR,PEYTO EXPLORATION & DEVELOPMENT CORP.,16-36-053-19W5,36053195,30,7,2020,36053195,53.62115102,-116.654881
TOURMALINE HZ EDSON 3-33-51-16,498294,ALBERTA CROWN,991.4M,100/03-33-051-16W5/00  N  181.0M  E,211.8M,DRAYTON VALLEY,4300,HORIZONTAL,NEW,PRODUCTION,GAS,2020-08-26,DEV (C),EDSON,SPIRIT RIVER FM,TOURMALINE OIL CORP.,04-28-051-16W5,28051165,35,8,2020,28051165,53.43214621,-116.2865772
TOURMALINE HZ EDSON 13-32-51-16,498295,ALBERTA CROWN,991.5M,100/13-32-051-16W5/00  N  176.1M  E,211.5M,DRAYTON VALLEY,6000,HORIZONTAL,NEW,PRODUCTION,GAS,2020-08-26,DEV (C),EDSON,SPIRIT RIVER FM,TOURMALINE OIL CORP.,04-28-051-16W5,28051165,35,8,2020,28051165,53.43214621,-116.2865772
TOURMALINE HZ EDSON 2-22-51-16,498296,ALBERTA CROWN,991.6M,100/02-22-051-16W5/00  N  171.2M  E,211.2M,DRAYTON VALLEY,5600,HORIZONTAL,NEW,PRODUCTION,GAS,2020-08-26,DEV (C),EDSON,SPIRIT RIVER FM,TOURMALINE OIL CORP.,04-28-051-16W5,28051165,35,8,2020,28051165,53.43214621,-116.2865772
TOURMALINE HZ EDSON 4-22-51-16,498297,ALBERTA CROWN,991.6M,102/04-22-051-16W5/00  N  166.4M  E,210.8M,DRAYTON VALLEY,5000,HORIZONTAL,NEW,PRODUCTION,GAS,2020-08-26,DEV (C),EDSON,SPIRIT RIVER FM,TOURMALINE OIL CORP.,04-28-051-16W5,28051165,35,8,2020,28051165,53.43214621,-116.2865772
KARVE 102 HZ PROVOST 5-19-35-4,498298,ALBERTA CROWN,737.6M,102/05-19-035-04W4/00  S  519.9M  E,186.0M,WAINWRIGHT,2485,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-26,DEV (NC),PROVOST,VIKING FM,KARVE ENERGY INC.,12-20-035-04W4,20035044,35,8,2020,20035044,52.01915985,-110.540697
KARVE 103 HZ PROVOST 12-19-35-4,498299,ALBERTA CROWN,737.8M,103/12-19-035-04W4/00  S  515.7M  E,195.1M,WAINWRIGHT,2384,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-26,DEV (NC),PROVOST,VIKING FM,KARVE ENERGY INC.,12-20-035-04W4,20035044,35,8,2020,20035044,52.01915985,-110.540697
KARVE 102 HZ PROVOST 13-19-35-4,498300,ALBERTA CROWN,737.9M,102/13-19-035-04W4/00  S  511.6M  E,204.2M,WAINWRIGHT,2431,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-08-26,DEV (NC),PROVOST,VIKING FM,KARVE ENERGY INC.,12-20-035-04W4,20035044,35,8,2020,20035044,52.01915985,-110.540697
