WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long,ï»¿WELL ID
02/15-18-034-09W4/0,TAC 16-24 HZ 102 PROVOST 15-18-34-9,498882,A8AF,Hertz & Paluck Energy Services Inc.,1,14 Dec 2020 01:45:00 PM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Set Surface,2020-12-14,18034094,51,12,2020.0,18034094,51.91830747,-111.2572822,
00/16-26-034-10W4/0,TAC 16-24 HZ PROVOST 16-26-34-10,498885,A8AF,Hertz & Paluck Energy Services Inc.,1,13 Dec 2020 06:00:00 PM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Set Surface,2020-12-14,26034104,51,12,2020.0,26034104,51.94740631,-111.304526,
00/12-27-039-02W4/0,SURGE ENERGY HZ PROVOST 12-27-39-2,496642,A77K,Star Valley Drilling Ltd.,102,14 Dec 2020 01:40:00 AM,Wainwright,0YK4,Surge Energy Inc.,,Resumption,2020-12-14,27039024,51,12,2020.0,27039024,52.38305457,-110.1969754,
02/08-30-046-07W5/0,BONTERRA HZ 102 PEMBINA 8-30-46-7,498708,A2EN,Ironhand Drilling Inc.,1,13 Dec 2020 01:45:00 PM,Drayton Valley,0XZ4,Bonterra Energy Corp.,,Drill To LD,2020-12-14,30046075,51,12,2020.0,30046075,52.99695217,-114.9924275,
02/09-27-051-27W4/0,FREE REIN 103 GSPIKE 9-27-51-27,498721,A08C,Savanna Drilling Corp.,636,12 Dec 2020 11:30:00 PM,St. Albert,0KA2,Free Rein Resources Ltd.,,Drill To LD,2020-12-14,27051274,51,12,2020.0,27051274,53.43209325,-113.885563,
00/16-10-066-04W6/0,CNRL ET AL HZ KARR 16-10-66-4,494907,A801,Stampede Drilling A Division Of Matrix Energy Technologi,6,13 Dec 2020 09:00:00 PM,Grande Prairie,0HE9,Canadian Natural Resources Limited,,Drill To LD,2020-12-14,10066046,51,12,2020.0,10066046,54.69792468,-118.5038917,
00/09-20-067-24W5/0,ARC HZ ANTEN 9-20-67-24,498604,0Y52,Precision Drilling Corporation,465,14 Dec 2020 10:00:00 AM,Grande Prairie,0G30,ARC Resources Ltd.,,Drill To LD,2020-12-14,20067245,51,12,2020.0,20067245,54.81404694,-117.6115077,
03/04-12-075-25W4/0,SPL 3-13 HZ 103 MARTENH 4-12-75-25,498559,0Y52,Precision Drilling Corporation,149,13 Dec 2020 08:15:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2020-12-14,12075254,51,12,2020.0,12075254,55.48262047,-113.7321418,
00/04-29-076-07W5/0,SPL 1-31 HZ NIPISI 4-29-76-7,498816,0GE9,Tempco Drilling Company Inc.,7,14 Dec 2020 06:30:00 AM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2020-12-14,29076075,51,12,2020.0,29076075,55.61398247,-115.0362786,
00/16-36-081-13W5/0,ISLANDER SEAL 16-36-81-13,498718,0Y52,Precision Drilling Corporation,144,13 Dec 2020 03:45:00 AM,St. Albert,A8A9,Islander Oil & Gas Inc.,,Drill To LD,2020-12-14,36081135,51,12,2020.0,36081135,56.06523345,-115.8801904,
09/15-04-066-04W4/0,IMP H91-H06 LEMING 15-4-66-4,497584,0Y55,Akita Drilling Ltd.,21,09 Apr 2020 09:00:00 AM,Bonnyville,0007,Imperial Oil Resources Limited,,Set Surface,2020-04-09,4066044,15,4,2020.0,4066044,54.68255026,-110.5353963,
03/05-31-078-07W6/0,GRL 1-31 HZ 103 VALHALLA 5-31-78-7,497689,A2CL,Komat Drilling Ltd.,4,15 Feb 2020 11:00:00 AM,Grande Prairie,A0TX,Grizzly Resources Ltd.,,Set Surface,2020-04-09,31078076,15,4,2020.0,31078076,55.80304856,-119.0606008,
02/08-16-056-24W5/0,PEYTO WILD RIV 8-16-56-24,497616,0Z41,Ensign Drilling Inc.,T401,07 Jul 2020 01:00:00 PM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2020-07-08,16056245,28,7,2020.0,16056245,53.83933702,-117.4948246,
00/04-04-063-05W6/0,7GEN HZ KAKWA 4-4-63-5,497464,0Z41,Ensign Drilling Inc.,148,29 Feb 2020 08:30:00 PM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Set Surface,2020-07-08,4063056,28,7,2020.0,4063056,54.42169003,-118.6800356,
00/04-04-063-05W6/0,7GEN HZ KAKWA 4-4-63-5,497464,A6PR,Nabors Drilling Canada Limited,17,02 Jul 2020 11:00:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Resumption,2020-07-08,4063056,28,7,2020.0,4063056,54.42169003,-118.6800356,
04/05-04-063-05W6/0,7GEN HZ 104 KAKWA 5-4-63-5,497468,0Z41,Ensign Drilling Inc.,148,28 Feb 2020 04:00:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Set Surface,2020-07-08,4063056,28,7,2020.0,4063056,54.42169003,-118.6800356,
00/04-09-063-05W6/0,7GEN HZ KAKWA 4-9-63-5,496207,0Y55,Akita Drilling Ltd.,41,27 Feb 2020 05:30:00 PM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Set Surface,2020-07-08,9063056,28,7,2020.0,9063056,54.43614492,-118.6800394,
00/04-09-063-05W6/0,7GEN HZ KAKWA 4-9-63-5,496207,A6PR,Nabors Drilling Canada Limited,5,02 Jul 2020 06:30:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Resumption,2020-07-08,9063056,28,7,2020.0,9063056,54.43614492,-118.6800394,
08/05-10-066-04W4/0,IMP H87-H02 LEMING 5-10-66-4,498070,0Y55,Akita Drilling Ltd.,21,07 Jul 2020 11:00:00 AM,Bonnyville,0007,Imperial Oil Resources Limited,,Resumption,2020-07-08,10066044,28,7,2020.0,10066044,54.69702879,-110.5102354,
02/13-15-072-09W6/0,OVV HZ 102 WEMBLEY 13-15-72-9,497744,0Y52,Precision Drilling Corporation,534,07 Jul 2020 06:00:00 PM,Grande Prairie,0026,Ovintiv Canada ULC,,Drill To LD,2020-07-08,15072096,28,7,2020.0,15072096,55.23606076,-119.2822598,
00/04-27-039-02W4/0,SURGE ENERGY HZ PROVOST 4-27-39-2,496640,A8AF,Hertz & Paluck Energy Services Inc.,1,04 Nov 2020 06:00:00 PM,Wainwright,0YK4,Surge Energy Inc.,,Set Surface,2020-11-05,27039024,45,11,2020.0,27039024,52.38305457,-110.1969754,
08/08-17-041-01W4/0,LONGSHORE HZ 108 HAYTER 8-17-41-1,498565,0GE9,Tempco Drilling Company Inc.,3,05 Nov 2020 10:30:00 AM,Wainwright,A76W,Longshore Resources Ltd.,,Drill To LD,2020-11-05,17041014,45,11,2020.0,17041014,52.52867716,-110.1009595,
00/16-21-044-10W5/0,BAYTEX HZ FERRIER 16-21-44-10,498446,A08C,Savanna Drilling Corp.,636,05 Nov 2020 09:00:00 AM,Red Deer,0RL9,Baytex Energy Ltd.,,Drill To LD,2020-11-05,21044105,45,11,2020.0,21044105,52.80699071,-115.3797893,
00/05-20-046-15W5/0,TOURMALINE HZ COLUMBIA 5-20-46-15,498175,0Z41,Ensign Drilling Inc.,T38,05 Nov 2020 09:15:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Resumption,2020-11-05,20046155,45,11,2020.0,20046155,52.98160593,-116.1292368,
00/15-25-048-06W4/0,HUSKY 3HZ Q2 WILDMERE 15-25-48-6,496542,0Y52,Precision Drilling Corporation,197,04 Nov 2020 09:00:00 PM,Wainwright,0R46,Husky Oil Operations Limited,,Drill To LD,2020-11-05,25048064,45,11,2020.0,25048064,53.168804,-110.73664709999998,
02/08-10-049-21W5/0,TOURMALINE HZ 102 BASING 8-10-49-21,498035,A6PR,Nabors Drilling Canada Limited,58,03 Sep 2020 08:30:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Drill To LD,2020-09-03,10049215,36,9,2020.0,10049215,53.21419259,-116.9755691,
00/13-07-058-25W5/0,TOURMALINE HZ WILD RIV 13-7-58-25,498096,0Z41,Ensign Drilling Inc.,39,03 Sep 2020 06:28:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Resumption,2020-09-03,7058255,36,9,2020.0,7058255,53.99924631,-117.6930509,
04/13-26-094-06W4/0,SUNCOR P122P5 FIREBAG 13-26-94-6,496413,A6PR,Nabors Drilling Canada Limited,102,02 Sep 2020 10:00:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Resumption,2020-09-03,26094064,36,9,2020.0,26094064,57.18443579,-110.83756540000002,
